글번호,등록일자,등록시간,등록자이름,이메일,비밀번호,글내용,,
1,2021-05-28,10:10:01,갈한수,Kor001@naver.com,1234,공무원의 직무상 불법행위로 손해를 받은 국민은 법률이 정하는 바에 의하여 국가 또는 공공단체에 정당한 배상을 청구할 수 있다. 이 경우 공무원 자신의 책임은 면제되지 아니한다. 군인은 현역을 면한 후가 아니면 국무위원으로 임명될 수 없다. 법관은 헌법과 법률에 의하여 그 양심에 따라 독립하여 심판한다.,,
2,2021-05-29,10:10:37,강이찬,Kor002@naver.com,1234,대통령은 법률이 정하는 바에 의하여 훈장 기타의 영전을 수여한다. 대법원과 각급법원의 조직은 법률로 정한다. 선거에 관한 경비는 법률이 정하는 경우를 제외하고는 정당 또는 후보자에게 부담시킬 수 없다. 국무총리는 국회의 동의를 얻어 대통령이 임명한다. 국회의원과 정부는 법률안을 제출할 수 있다.,,
3,2021-05-26,10:10:45,개원훈,Kor003@naver.com,1234,"국정감사 및 조사에 관한 절차 기타 필요한 사항은 법률로 정한다. 모든 국민의 재산권은 보장된다. 그 내용과 한계는 법률로 정한다. 공무원은 국민전체에 대한 봉사자이며, 국민에 대하여 책임을 진다. 국가는 여자의 복지와 권익의 향상을 위하여 노력하여야 한다. 국채를 모집하거나 예산외에 국가의 부담이 될 계약을 체결하려 할 때에는 정부는 미리 국회의 의결을 얻어야 한다.",,
4,2021-05-26,10:10:52,경시현,Kor004@naver.com,1234,"국군의 조직과 편성은 법률로 정한다. 국회나 그 위원회의 요구가 있을 때에는 국무총리·국무위원 또는 정부위원은 출석·답변하여야 하며, 국무총리 또는 국무위원이 출석요구를 받은 때에는 국무위원 또는 정부위원으로 하여금 출석·답변하게 할 수 있다. 모든 국민은 소급입법에 의하여 참정권의 제한을 받거나 재산권을 박탈당하지 아니한다.",,
5,2021-05-22,10:10:04,공동영,Kor005@naver.com,1234,"대통령은 국회에 출석하여 발언하거나 서한으로 의견을 표시할 수 있다. 공무원의 직무상 불법행위로 손해를 받은 국민은 법률이 정하는 바에 의하여 국가 또는 공공단체에 정당한 배상을 청구할 수 있다. 이 경우 공무원 자신의 책임은 면제되지 아니한다. 의무교육은 무상으로 한다. 모든 국민은 건강하고 쾌적한 환경에서 생활할 권리를 가지며, 국가와 국민은 환경보전을 위하여 노력하여야 한다.",,
6,2021-05-25,10:10:26,기대연,Kor006@naver.com,1234,위원은 탄핵 또는 금고 이상의 형의 선고에 의하지 아니하고는 파면되지 아니한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회는 법률에 저촉되지 아니하는 범위안에서 의사와 내부규율에 관한 규칙을 제정할 수 있다. 모든 국민은 헌법과 법률이 정한 법관에 의하여 법률에 의한 재판을 받을 권리를 가진다.,,
7,2021-05-07,10:10:44,기원호,Kor007@naver.com,1234,"사회적 특수계급의 제도는 인정되지 아니하며, 어떠한 형태로도 이를 창설할 수 없다. 평화통일정책의 수립에 관한 대통령의 자문에 응하기 위하여 민주평화통일자문회의를 둘 수 있다. 모든 국민은 자기의 행위가 아닌 친족의 행위로 인하여 불이익한 처우를 받지 아니한다. 헌법재판소 재판관은 정당에 가입하거나 정치에 관여할 수 없다.",,
8,2021-05-19,10:10:09,기은성,Kor008@naver.com,1234,"국회는 헌법개정안이 공고된 날로부터 60일 이내에 의결하여야 하며, 국회의 의결은 재적의원 3분의 2 이상의 찬성을 얻어야 한다. 국민경제의 발전을 위한 중요정책의 수립에 관하여 대통령의 자문에 응하기 위하여 국민경제자문회의를 둘 수 있다. 국가는 평생교육을 진흥하여야 한다. 국군의 조직과 편성은 법률로 정한다.",,
9,2021-05-08,10:10:40,나한율,Kor009@naver.com,1234,"군인은 현역을 면한 후가 아니면 국무총리로 임명될 수 없다. 법관이 중대한 심신상의 장해로 직무를 수행할 수 없을 때에는 법률이 정하는 바에 의하여 퇴직하게 할 수 있다. 헌법재판소에서 법률의 위헌결정, 탄핵의 결정, 정당해산의 결정 또는 헌법소원에 관한 인용결정을 할 때에는 재판관 6인 이상의 찬성이 있어야 한다.",,
10,2021-05-27,10:10:25,남동예,Kor010@naver.com,1234,"모든 국민은 인간다운 생활을 할 권리를 가진다. 국회는 국정을 감사하거나 특정한 국정사안에 대하여 조사할 수 있으며, 이에 필요한 서류의 제출 또는 증인의 출석과 증언이나 의견의 진술을 요구할 수 있다. 이 헌법에 의한 최초의 대통령의 임기는 이 헌법시행일로부터 개시한다. 헌법개정안은 국회가 의결한 후 30일 이내에 국민투표에 붙여 국회의원선거권자 과반수의 투표와 투표자 과반수의 찬성을 얻어야 한다.",,
11,2021-05-24,10:10:01,낭시우,Kor011@naver.com,1234,"국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 국가원로자문회의의 의장은 직전대통령이 된다. 다만, 직전대통령이 없을 때에는 대통령이 지명한다. 대통령이 제1항의 기간내에 공포나 재의의 요구를 하지 아니한 때에도 그 법률안은 법률로서 확정된다. 헌법재판소 재판관은 탄핵 또는 금고 이상의 형의 선고에 의하지 아니하고는 파면되지 아니한다.",,
12,2021-05-11,10:10:11,내세원,Kor012@naver.com,1234,"국무총리 또는 행정각부의 장은 소관사무에 관하여 법률이나 대통령령의 위임 또는 직권으로 총리령 또는 부령을 발할 수 있다. 의원을 제명하려면 국회재적의원 3분의 2 이상의 찬성이 있어야 한다. 국가는 대외무역을 육성하며, 이를 규제·조정할 수 있다. 법관은 헌법과 법률에 의하여 그 양심에 따라 독립하여 심판한다.",,
13,2021-05-24,10:10:08,뇌성수,Kor013@naver.com,1234,"국회는 국무총리 또는 국무위원의 해임을 대통령에게 건의할 수 있다. 국회의원과 정부는 법률안을 제출할 수 있다. 대한민국의 경제질서는 개인과 기업의 경제상의 자유와 창의를 존중함을 기본으로 한다. 일반사면을 명하려면 국회의 동의를 얻어야 한다. 대통령이 궐위되거나 사고로 인하여 직무를 수행할 수 없을 때에는 국무총리, 법률이 정한 국무위원의 순서로 그 권한을 대행한다.",,
14,2021-05-19,10:10:51,단수혁,Kor014@naver.com,1234,국회는 의장 1인과 부의장 2인을 선출한다. 대한민국의 영토는 한반도와 그 부속도서로 한다. 대통령은 내란 또는 외환의 죄를 범한 경우를 제외,,
15,2021-05-10,10:10:58,담성민,Kor015@naver.com,1234,대통령은 내우·외환·천재·지변 또는 중대한 재정·경제상의 위기에 있어서 국가의 안전보장 또는 공공의 안녕질서를 유지하기 위하여 긴급한 조치가 필요하고 국회의 집회를 기다릴 여유가 없을 때에 한하여 최소한으로 필요한 재정·경제상의 처분을 하거나 이에 관하여 법률의 효력을 가지는 명령을 발할 수 있다.,,
16,2021-05-21,10:10:18,담원준,Kor016@naver.com,1234,선거에 관한 경비는 법률이 정하는 경우를 제외하고는 정당 또는 후보자에게 부담시킬 수 없다. 국가는 농업 및 어업을 보호·육성하기 위하여 농·어촌종합개발과 그 지원등 필요한 계획을 수립·시행하여야 한다. 국회의원의 선거구와 비례대표제 기타 선거에 관한 사항은 법률로 정한다. 대한민국의 국민이 되는 요건은 법률로 정한다.,,
17,2021-05-12,10:10:32,담장호,Kor017@naver.com,1234,"연소자의 근로는 특별한 보호를 받는다. 정당은 그 목적·조직과 활동이 민주적이어야 하며, 국민의 정치적 의사형성에 참여하는데 필요한 조직을 가져야 한다. 법원은 최고법원인 대법원과 각급법원으로 조직된다. 헌법재판소 재판관의 임기는 6년으로 하며, 법률이 정하는 바에 의하여 연임할 수 있다.",,
18,2021-05-04,10:10:21,독고예준,Kor018@naver.com,1234,"농업생산성의 제고와 농지의 합리적인 이용을 위하거나 불가피한 사정으로 발생하는 농지의 임대차와 위탁경영은 법률이 정하는 바에 의하여 인정된다. 대통령은 헌법과 법률이 정하는 바에 의하여 국군을 통수한다. 대통령의 임기는 5년으로 하며, 중임할 수 없다. 행정각부의 장은 국무위원 중에서 국무총리의 제청으로 대통령이 임명한다.",,
19,2021-05-01,10:10:34,돈송혁,Kor019@naver.com,1234,"공무원은 국민전체에 대한 봉사자이며, 국민에 대하여 책임을 진다. 헌법재판소 재판관은 정당에 가입하거나 정치에 관여할 수 없다. 모든 국민은 소급입법에 의하여 참정권의 제한을 받거나 재산권을 박탈당하지 아니한다. 국회는 국무총리 또는 국무위원의 해임을 대통령에게 건의할 수 있다. 재산권의 행사는 공공복리에 적합하도록 하여야 한다.",,
20,2021-05-18,10:10:23,돈재현,Kor020@naver.com,1234,"국회는 선전포고, 국군의 외국에의 파견 또는 외국군대의 대한민국 영역안에서의 주류에 대한 동의권을 가진다. 저작자·발명가·과학기술자와 예술가의 권리는 법률로써 보호한다. 대통령은 국민의 보통·평등·직접·비밀선거에 의하여 선출한다. 대통령은 조국의 평화적 통일을 위한 성실한 의무를 진다.",,
21,2021-05-04,10:10:35,두동환,Kor021@naver.com,1234,"대통령은 전시·사변 또는 이에 준하는 국가비상사태에 있어서 병력으로써 군사상의 필요에 응하거나 공공의 안녕질서를 유지할 필요가 있을 때에는 법률이 정하는 바에 의하여 계엄을 선포할 수 있다. 국회나 그 위원회의 요구가 있을 때에는 국무총리·국무위원 또는 정부위원은 출석·답변하여야 하며, 국무총리 또는 국무위원이 출석요구를 받은 때에는 국무위원 또는 정부위원으로 하여금 출석·답변하게 할 수 있다.",,
22,2021-05-20,10:10:55,두채훈,Kor022@naver.com,1234,모든 국민은 법률이 정하는 바에 의하여 공무담임권을 가진다. 국가는 국민 모두의 생산 및 생활의 기반이 되는 국토의 효율적이고 균형있는 이용·개발과 보전을 위하여 법률이 정하는 바에 의하여 그에 관한 필요한 제한과 의무를 과할 수 있다. 대한민국의 경제질서는 개인과 기업의 경제상의 자유와 창의를 존중함을 기본으로 한다.,,
